date,open,close,high,low,volume,amount
2025-09-03,112.16,107.49,112.16,106.99,41273829,4511894201.0
2025-09-04,109.28,104.0,109.48,103.8,63818683,6755375627.0
2025-09-05,104.0,105.1,106.59,103.7,64326956,6797921072.0
2025-09-08,104.1,105.1,105.89,103.51,51203814,5389438724.0
2025-09-09,105.2,105.4,106.69,104.6,29693000,3147263909.0
2025-09-10,106.29,105.1,107.29,104.7,28735255,3050374135.0
2025-09-11,105.1,104.7,106.39,104.2,33114430,3490311130.0
2025-09-12,105.2,104.0,105.99,104.0,32036845,3377723997.0
2025-09-15,103.41,107.59,108.88,102.31,59442230,6395653641.0
2025-09-16,107.79,109.38,110.27,107.79,34109443,3736561570.0
2025-09-17,109.78,112.26,113.56,109.48,54922563,6172630123.0
2025-09-18,112.26,112.26,114.85,110.67,37686070,4276299077.0
2025-09-19,111.67,112.96,113.26,110.87,32179625,3636866080.0
2025-09-22,112.96,109.18,112.96,108.58,34820492,3838424388.0
2025-09-23,109.18,105.8,109.48,104.6,35732701,3798161671.0
2025-09-24,104.5,105.2,105.6,103.51,25517457,2686532636.0
2025-09-25,104.0,107.69,108.98,104.0,38514026,4131386095.0
2025-09-26,107.09,105.99,110.07,105.7,28467638,3082169825.0
2025-09-29,105.99,108.08,108.68,105.3,19149409,2072179971.0
2025-09-30,105.6,109.68,109.97,105.6,38052959,4150746099.0
2025-10-02,109.68,113.36,114.16,108.28,45566769,5143510085.0
2025-10-03,111.67,108.88,112.46,107.19,29734770,3245212885.0
2025-10-06,107.49,107.59,108.78,106.89,11022981,1190602920.0
2025-10-08,107.59,109.18,110.07,106.69,21535231,2353930550.0
2025-10-09,108.08,109.68,111.07,107.98,25579133,2820844583.0
2025-10-10,109.18,107.69,110.27,107.39,22941770,2501889885.0
2025-10-13,105.7,105.8,106.29,102.31,45554786,4782870315.0
2025-10-14,106.19,104.9,109.97,104.7,37393377,3999000384.0
2025-10-15,106.69,108.08,108.58,106.29,25142373,2718739868.0
2025-10-16,107.49,107.09,109.08,105.7,17529379,1887654208.0
2025-10-17,107.09,102.71,107.89,102.31,32302387,3373548123.0
2025-10-20,106.09,104.3,106.19,103.51,15864029,1665474403.0
2025-10-21,105.5,103.41,106.19,103.21,23229704,2439833858.0
2025-10-22,103.01,102.41,103.41,101.32,20530305,2112172112.0
2025-10-23,101.81,103.41,103.9,100.52,15715171,1617090550.0
2025-10-24,104.1,103.51,104.7,102.91,14611592,1520780774.0
2025-10-27,104.5,105.2,106.09,104.1,17781278,1877088941.0
2025-10-28,105.8,104.3,105.89,103.61,13071696,1371514918.0
2025-10-30,103.51,103.7,105.8,102.91,24683843,2579815389.0
2025-10-31,100.02,100.12,101.02,97.04,54690818,5454224859.0
2025-11-03,100.12,98.63,100.52,97.19,29742978,2942239306.0
2025-11-04,98.23,96.64,99.52,96.54,32962950,3224964161.0
2025-11-05,95.05,94.95,95.3,93.55,38301893,3637417324.0
2025-11-06,94.2,97.19,97.34,93.7,31445844,3037753505.0
2025-11-07,96.84,97.43,98.28,96.44,20328719,1988948450.0
2025-11-10,97.43,101.32,102.41,97.43,33899737,3431362261.0
2025-11-11,102.41,100.82,102.81,100.12,14575190,1481268089.0
2025-11-12,100.82,100.02,100.82,99.03,16213089,1627174985.0
2025-11-13,99.03,102.31,102.71,98.73,21563429,2196842133.0
2025-11-14,100.32,100.12,102.21,100.02,14847608,1504243359.0
2025-11-17,99.23,100.22,100.72,99.18,16202047,1629632900.0
2025-11-18,99.03,96.44,99.23,95.74,30954342,3009259102.0
2025-11-19,95.74,95.59,96.69,94.55,24745435,2375498143.0
2025-11-20,95.59,94.75,96.34,93.5,29523103,2799797460.0
