date,open,close,high,low,volume,amount
2026-02-03,73.2,70.45,73.7,69.35,92793142,6581260145.0
2026-02-04,69.8,68.75,69.85,67.8,69297925,4761605369.0
2026-02-05,67.2,67.45,67.8,65.5,75575663,5029573001.0
2026-02-06,66.0,67.6,69.05,65.75,53161260,3596186460.0
2026-02-09,69.6,70.35,71.75,69.0,54489471,3829588097.0
2026-02-10,71.2,71.55,71.95,70.15,45008675,3207609902.0
2026-02-11,69.85,70.0,70.0,68.25,88262555,6109846387.0
2026-02-12,70.8,69.8,71.0,69.35,40928219,2866249860.0
2026-02-13,69.1,70.35,71.4,68.65,49969181,3516982735.0
2026-02-16,70.45,69.9,70.65,69.25,7346214,514912195.0
2026-02-20,69.9,67.7,70.45,67.7,13802979,944863270.0
2026-02-23,68.4,71.1,71.75,68.4,23965395,1699086444.0
2026-02-24,69.9,69.4,70.8,68.6,51793107,3600365903.0
2026-02-25,70.55,69.85,71.0,69.8,43679241,3069609609.0
2026-02-26,70.65,67.6,70.65,67.6,56464703,3887415317.0
2026-02-27,67.6,68.0,69.0,66.45,36167811,2461828304.0
2026-03-02,66.6,64.6,67.6,64.55,91011720,5952804158.0
2026-03-03,65.25,62.55,65.5,61.0,85167593,5347352241.0
2026-03-04,61.0,61.25,63.2,60.7,60414856,3722920367.0
2026-03-05,63.0,61.5,63.55,61.25,50672825,3157377093.0
2026-03-06,61.65,61.8,63.6,61.1,70796224,4410152783.0
2026-03-09,58.8,60.85,61.3,58.3,69946059,4180002241.0
2026-03-10,62.35,64.2,64.2,61.8,58878832,3716928164.0
2026-03-11,64.5,63.75,65.4,63.35,39428906,2537643136.0
2026-03-12,63.1,63.1,65.6,62.4,41020368,2614831374.0
2026-03-13,62.6,62.2,62.9,61.3,40672853,2520123266.0
2026-03-16,61.85,62.5,64.15,60.5,53596361,3338761947.0
2026-03-17,63.15,61.85,63.35,61.1,44776126,2779765470.0
2026-03-18,62.3,61.7,62.7,61.1,38618450,2385622047.0
2026-03-19,60.5,59.75,61.1,59.25,68178947,4095921239.0
2026-03-20,59.75,56.9,60.45,56.3,86432962,5015536159.0
2026-03-23,55.0,54.15,55.95,52.8,107629358,5834380334.0
2026-03-24,55.05,55.2,55.2,53.1,62381777,3394617395.0
2026-03-25,55.6,56.5,57.7,55.6,55556759,3135582424.0
2026-03-26,56.0,53.15,56.1,52.9,67639023,3640332231.0
2026-03-27,52.1,52.5,53.45,51.8,55576934,2930539747.0
2026-03-30,50.5,51.4,51.7,49.32,79858927,4044725366.0
2026-03-31,50.8,50.7,52.9,50.0,49238685,2517391877.0
2026-04-01,52.75,52.85,53.65,51.9,62707381,3312618308.0
2026-04-02,52.85,51.0,52.85,50.05,65408563,3332648260.0
2026-04-08,54.8,56.15,57.15,53.95,120792522,6718809753.0
2026-04-09,55.65,55.7,57.0,54.5,51135459,2865786347.0
2026-04-10,57.0,58.25,59.6,56.9,104483042,6108620059.0
2026-04-13,57.4,57.15,58.2,56.6,41213698,2356011426.0
2026-04-14,58.9,57.95,58.9,57.15,41751669,2421186116.0
2026-04-15,59.7,59.3,60.45,58.65,68304303,4065827555.0
2026-04-16,59.3,59.95,60.15,58.75,48238382,2873327858.0
2026-04-17,60.0,59.35,60.45,58.65,43292976,2572189053.0
2026-04-20,60.0,59.8,60.95,58.8,56745504,3399472544.0
2026-04-21,60.3,60.1,60.4,59.3,35219004,2113292179.0
2026-04-22,59.6,59.3,60.15,58.45,59394935,3512661252.0
2026-04-23,59.9,58.45,60.45,57.7,53658696,3153160577.0
2026-04-24,57.7,64.3,65.3,57.65,197782770,12413152552.0
2026-04-27,67.2,68.25,69.95,66.55,174513759,11971408461.0
2026-04-28,68.7,66.05,68.9,65.3,95445464,6391136782.0
2026-04-29,65.65,65.8,66.25,64.1,65251961,4257623647.0
2026-04-30,66.35,70.9,71.7,66.0,168177459,11666287375.0
2026-05-04,72.0,72.15,74.65,72.0,39679795,2915603399.0
2026-05-05,71.3,70.8,71.9,70.1,17343650,1226803515.0
2026-05-06,73.75,74.85,79.4,73.6,216090246,16500926016.0
2026-05-07,76.55,76.75,79.4,74.35,145130185,11133754576.0
2026-05-08,74.85,73.35,75.3,72.5,106496499,7803020446.0
2026-05-11,75.65,76.6,77.85,75.55,110370158,8474024541.0
2026-05-12,77.95,76.6,78.0,73.4,99822983,7561506977.0
2026-05-13,74.35,74.15,75.2,72.1,86814246,6430596721.0
2026-05-14,75.3,71.5,76.1,71.5,98394521,7186543598.0
2026-05-15,73.9,71.15,76.65,70.75,156841011,11574741504.0
2026-05-18,70.55,68.7,72.65,67.6,118961756,8304258621.0
2026-05-19,67.95,68.5,69.4,65.2,119791532,8014463903.0
2026-05-20,68.05,75.15,77.45,67.6,258516139,19218462575.0
2026-05-21,78.0,74.2,79.4,73.5,179007685,13771155178.0
2026-05-22,76.85,79.85,80.1,73.6,212610930,16513887812.0
2026-05-26,91.8,84.4,93.0,84.1,371835947,32579806617.0
2026-05-27,86.0,85.2,89.45,83.15,192709679,16653965063.0
2026-05-28,84.95,88.25,92.5,84.3,264369889,23659568499.0
2026-05-29,88.5,81.6,89.65,80.8,214921589,18216477284.0
2026-06-01,81.3,79.45,84.3,78.55,140374235,11359210365.0
2026-06-02,79.85,81.95,83.4,79.15,104037549,8492423021.0
2026-06-03,83.05,82.95,85.8,81.9,111192799,9361647471.0
2026-06-04,81.65,81.5,84.75,80.0,100629284,8331977554.0
2026-06-05,80.8,75.65,81.45,75.35,192990499,14927141279.0
2026-06-08,73.0,72.55,76.1,71.15,140624827,10255444048.0
2026-06-09,73.0,75.0,76.8,71.6,96331167,7189351420.0
2026-06-10,74.05,72.35,77.8,71.05,108384523,7967409050.0
2026-06-11,72.3,73.3,73.55,70.5,80335506,5782299307.0
2026-06-12,75.55,71.65,77.0,71.3,101440814,7534475268.0
2026-06-15,74.0,76.65,76.95,72.65,99265387,7521190504.0
2026-06-16,77.45,74.0,77.95,72.95,74473870,5588484275.0
2026-06-17,73.0,75.75,76.5,72.4,97501973,7279235013.0
2026-06-18,76.1,76.5,79.45,73.75,203554119,15559424914.0
2026-06-22,78.8,78.9,82.4,77.15,171994651,13669507199.0
2026-06-23,79.2,77.85,84.1,76.5,182963530,14700757649.0
2026-06-24,77.6,84.8,86.45,77.6,218098916,18241345080.0
2026-06-25,87.4,86.0,88.7,83.8,127969567,11048462055.0
2026-06-26,84.5,80.0,85.25,79.05,142920129,11608917778.0
2026-06-29,79.55,84.8,85.8,79.35,124513219,10281331877.0
2026-06-30,84.6,89.4,91.55,84.25,176623921,15767983901.0
2026-07-02,84.1,80.4,84.2,78.55,178219425,14496277976.0
2026-07-03,80.0,77.6,81.45,76.45,124053283,9775810656.0
